No,No1,No2,No3,No4,No5,No6
1,1,2,3,10,30,36
2,1,2,3,12,31,44
3,1,2,3,14,21,37
4,1,2,3,32,36,39
5,1,2,4,8,25,37
6,1,2,4,16,22,32
7,1,2,6,9,24,33
8,1,2,6,19,42,45
9,1,2,7,19,22,33
10,1,2,8,12,15,20
11,1,2,10,12,27,43
12,1,2,10,14,27,28
13,1,2,10,21,22,40
14,1,2,10,40,41,42
15,1,2,11,12,19,28
16,1,2,11,18,24,41
17,1,2,11,22,31,32
18,1,2,11,23,32,37
19,1,2,11,25,30,37
20,1,2,12,19,36,45
21,1,2,12,25,26,31
22,1,2,13,22,32,40
23,1,2,13,36,41,42
24,1,2,14,28,33,40
25,1,2,17,18,44,45
26,1,2,19,29,31,44
27,1,2,20,23,29,31
28,1,2,20,31,36,40
29,1,2,23,33,40,44
30,1,2,24,29,37,45
31,1,2,27,34,39,42
32,1,2,29,34,35,41
33,1,2,32,33,34,40
34,1,3,4,6,31,37
35,1,3,5,10,23,30
36,1,3,6,13,26,31
37,1,3,6,14,15,34
38,1,3,6,14,23,45
39,1,3,6,16,33,43
40,1,3,7,14,17,19
41,1,3,7,22,23,25
42,1,3,7,25,39,45
43,1,3,7,32,38,42
44,1,3,8,9,33,39
45,1,3,8,17,29,33
46,1,3,8,21,26,44
47,1,3,11,17,29,37
48,1,3,13,18,20,42
49,1,3,13,25,27,40
50,1,3,13,25,39,42
51,1,3,13,37,42,44
52,1,3,14,21,39,43
53,1,3,16,17,20,28
54,1,3,18,33,34,43
55,1,3,19,27,28,44
56,1,3,19,29,34,42
57,1,3,24,29,37,42
58,1,4,5,9,40,45
59,1,4,5,13,20,28
60,1,4,6,14,28,45
61,1,4,6,16,17,41
62,1,4,6,17,19,37
63,1,4,6,24,30,37
64,1,4,7,10,11,33
65,1,4,7,11,14,40
66,1,4,7,16,26,43
67,1,4,7,22,35,38
68,1,4,7,31,32,39
69,1,4,8,24,29,34
70,1,4,9,19,35,36
71,1,4,10,11,12,33
72,1,4,11,17,31,39
73,1,4,11,18,21,25
74,1,4,11,30,40,42
75,1,4,12,22,36,45
76,1,4,13,17,28,34
77,1,4,13,18,22,39
78,1,4,13,18,25,32
79,1,4,13,21,43,44
80,1,4,18,28,29,44
81,1,4,20,21,31,41
82,1,4,20,26,31,45
83,1,4,20,36,40,42
84,1,4,22,25,36,38
85,1,4,24,29,32,33
86,1,5,6,19,26,35
87,1,5,8,14,30,34
88,1,5,8,19,33,36
89,1,5,8,24,33,40
90,1,5,9,14,21,34
91,1,5,10,12,13,19
92,1,5,10,13,36,37
93,1,5,10,14,29,40
94,1,5,10,18,32,39
95,1,5,11,18,33,39
96,1,5,11,20,28,32
97,1,5,12,19,20,41
98,1,5,13,20,28,40
99,1,5,13,23,27,29
100,1,5,16,17,23,30
101,1,5,17,18,29,43
102,1,5,20,24,34,35
103,1,5,22,23,26,43
104,1,5,25,31,36,41
105,1,5,28,30,35,41
106,1,5,29,32,42,43
107,1,6,7,19,20,36
108,1,6,8,24,36,38
109,1,6,9,19,30,41
110,1,6,9,28,30,37
111,1,6,10,23,34,40
112,1,6,11,15,17,38
113,1,6,18,21,39,44
114,1,6,19,22,24,35
115,1,6,21,23,30,36
116,1,6,28,33,34,35
117,1,6,31,32,33,45
118,1,6,32,37,44,45
119,1,7,8,13,23,29
120,1,7,8,17,20,39
121,1,7,9,11,12,27
122,1,7,9,21,39,41
123,1,7,10,11,22,31
124,1,7,10,12,14,42
125,1,7,10,15,29,38
126,1,7,10,16,28,33
127,1,7,11,35,36,41
128,1,7,12,14,39,45
129,1,7,12,19,33,42
130,1,7,15,24,34,43
131,1,7,17,24,32,36
132,1,7,17,42,44,45
133,1,7,27,30,32,43
134,1,8,9,36,37,45
135,1,8,10,13,22,35
136,1,8,11,12,20,25
137,1,8,11,14,18,45
138,1,8,11,16,19,44
139,1,8,11,28,31,34
140,1,8,12,17,40,41
141,1,8,12,33,42,45
142,1,8,13,17,30,37
143,1,8,13,25,28,32
144,1,8,13,28,34,38
145,1,8,13,29,38,45
146,1,8,14,16,26,28
147,1,8,14,18,21,23
148,1,8,14,21,33,43
149,1,8,14,21,37,38
150,1,8,14,23,37,40
151,1,8,14,32,38,45
152,1,8,15,16,18,26
153,1,8,15,27,29,34
154,1,8,16,29,36,39
155,1,8,16,30,43,45
156,1,8,17,18,29,45
157,1,8,17,20,35,38
158,1,8,18,30,34,43
159,1,8,19,25,35,36
160,1,8,20,28,29,41
161,1,8,29,35,37,44
162,1,8,29,40,41,42
163,1,9,10,17,19,32
164,1,9,11,14,25,39
165,1,9,12,19,35,42
166,1,9,14,17,32,41
167,1,9,14,20,32,35
168,1,9,15,21,27,30
169,1,9,19,31,35,36
170,1,10,11,12,23,30
171,1,10,11,32,42,44
172,1,10,14,32,40,43
173,1,10,15,21,43,45
174,1,10,16,21,37,42
175,1,10,16,22,27,39
176,1,10,16,24,40,42
177,1,10,16,25,27,33
178,1,10,17,18,30,31
179,1,10,17,20,28,30
180,1,10,18,38,39,45
181,1,10,19,29,33,43
182,1,10,21,23,28,38
183,1,10,21,26,27,31
184,1,10,21,30,40,42
185,1,10,22,30,37,38
186,1,10,26,30,44,45
187,1,11,12,24,34,41
188,1,11,13,16,19,29
189,1,11,13,21,40,44
190,1,11,15,24,27,40
191,1,11,15,24,37,45
192,1,11,16,21,28,39
193,1,11,20,22,24,39
194,1,11,23,30,35,42
195,1,11,25,36,37,42
196,1,11,30,36,44,45
197,1,12,13,14,28,37
198,1,12,13,21,27,29
199,1,12,15,25,36,41
200,1,12,17,18,28,40
201,1,12,17,26,38,39
202,1,12,19,29,38,42
