No,No1,No2,No3,No4,No5,No6
1,1,2,3,17,21,30
2,1,2,3,18,32,40
3,1,2,3,33,42,45
4,1,2,4,20,23,30
5,1,2,5,6,14,24
6,1,2,5,8,10,25
7,1,2,5,9,10,12
8,1,2,5,10,12,36
9,1,2,5,10,28,37
10,1,2,5,31,32,44
11,1,2,6,12,17,35
12,1,2,6,12,18,20
13,1,2,7,8,38,39
14,1,2,7,26,39,41
15,1,2,9,18,20,24
16,1,2,11,33,40,41
17,1,2,12,29,30,42
18,1,2,15,18,38,44
19,1,2,17,30,39,41
20,1,2,24,29,37,42
21,1,2,29,33,37,41
22,1,3,4,5,30,32
23,1,3,4,6,12,22
24,1,3,4,6,28,43
25,1,3,4,10,15,37
26,1,3,4,23,26,45
27,1,3,5,15,32,34
28,1,3,6,7,34,35
29,1,3,6,15,37,39
30,1,3,6,17,28,31
31,1,3,6,30,31,35
32,1,3,7,20,29,34
33,1,3,8,11,22,45
34,1,3,8,19,28,30
35,1,3,8,31,35,45
36,1,3,9,15,32,37
37,1,3,9,18,23,34
38,1,3,9,25,44,45
39,1,3,9,27,34,37
40,1,3,9,28,31,38
41,1,3,11,15,20,37
42,1,3,11,15,36,38
43,1,3,11,17,18,28
44,1,3,11,33,36,38
45,1,3,12,20,42,45
46,1,3,14,20,24,27
47,1,3,15,18,20,25
48,1,3,16,17,37,43
49,1,3,16,19,21,36
50,1,3,18,23,31,36
51,1,3,19,28,35,37
52,1,3,28,31,40,42
53,1,3,33,35,36,39
54,1,4,5,7,24,31
55,1,4,5,15,24,32
56,1,4,5,23,29,32
57,1,4,6,21,27,38
58,1,4,6,29,39,42
59,1,4,7,13,24,36
60,1,4,7,15,32,39
61,1,4,7,20,21,39
62,1,4,8,16,21,23
63,1,4,9,11,38,44
64,1,4,9,15,26,33
65,1,4,10,26,32,39
66,1,4,11,12,18,26
67,1,4,11,14,20,41
68,1,4,11,14,35,44
69,1,4,11,18,19,42
70,1,4,11,32,37,39
71,1,4,12,15,25,36
72,1,4,12,25,32,41
73,1,4,13,16,24,33
74,1,4,16,20,28,44
75,1,4,16,23,31,42
76,1,4,16,24,26,41
77,1,4,16,34,35,39
78,1,4,17,34,38,39
79,1,4,18,26,32,38
80,1,4,18,28,31,37
