No,Group,No1,No2,No3,No4,No5,No6
1,1,0,0,3,2,1,2
2,1,0,0,4,1,2,8
3,1,0,0,4,2,1,7
4,1,0,0,9,2,8,3
5,1,0,1,4,3,7,2
6,1,0,1,4,6,9,6
7,1,0,1,4,8,1,6
8,1,0,1,8,3,4,2
9,1,0,2,0,8,5,4
10,1,0,2,7,5,5,8
11,1,0,3,1,6,1,3
12,1,0,3,8,8,1,6
13,1,0,3,9,4,3,4
14,1,0,4,1,2,0,7
15,1,0,4,8,2,5,5
16,1,0,5,4,4,9,1
17,1,0,5,5,8,5,6
18,1,0,5,8,0,0,6
19,1,0,6,1,6,0,7
20,1,0,6,3,1,9,4
21,1,0,6,3,2,7,2
22,1,0,6,3,5,8,2
23,1,0,6,7,2,3,1
24,1,0,6,7,4,5,2
25,1,0,6,8,7,8,5
26,1,0,6,9,0,5,8
27,1,0,7,1,8,3,4
28,1,0,7,3,5,5,3
29,1,0,7,9,6,8,5
30,1,0,8,0,5,4,9
31,1,0,8,1,8,4,6
32,1,0,8,6,6,9,3
33,1,0,8,8,0,9,5
34,1,0,8,8,3,5,4
35,1,0,9,0,2,1,4
36,1,0,9,2,6,4,1
37,1,0,9,2,6,9,8
38,1,0,9,7,6,0,4
39,1,0,9,8,4,3,7
40,1,0,9,9,0,3,6
41,1,0,9,9,0,9,3
42,1,1,0,3,6,6,2
43,1,1,0,5,1,3,1
44,1,1,0,6,6,8,6
45,1,1,1,8,9,0,4
46,1,1,1,9,6,8,3
47,1,1,2,0,5,1,2
48,1,1,2,1,6,5,6
49,1,1,2,1,9,4,4
50,1,1,2,3,0,6,4
51,1,1,2,7,4,6,9
52,1,1,2,8,8,4,8
53,1,1,2,9,1,7,1
54,1,1,3,4,1,1,6
55,1,1,3,4,3,0,9
56,1,1,3,4,8,7,4
57,1,1,3,5,1,6,5
58,1,1,3,5,5,3,0
59,1,1,3,8,7,4,2
60,1,1,4,1,3,2,8
61,1,1,4,3,4,9,4
62,1,1,5,2,0,7,5
63,1,1,5,7,5,0,2
64,1,1,5,7,8,1,7
65,1,1,5,8,3,7,9
66,1,1,5,9,9,0,4
67,1,1,6,3,0,5,0
68,1,1,7,0,1,1,6
69,1,1,7,7,0,3,2
70,1,1,7,8,7,0,6
71,1,1,7,9,0,1,2
72,1,1,8,4,0,5,4
73,1,1,8,4,6,9,7
74,1,1,8,5,5,3,7
75,1,1,9,1,6,6,0
76,1,1,9,2,4,0,1
77,1,1,9,4,7,0,6
78,1,1,9,6,7,7,4
79,1,1,9,7,6,8,8
80,1,1,9,9,4,2,5
81,1,2,0,4,6,1,8
82,1,2,0,5,4,2,3
83,1,2,1,0,7,8,6
84,1,2,1,1,1,3,3
85,1,2,1,1,8,5,1
86,1,2,1,4,4,6,1
87,1,2,1,4,6,0,8
88,1,2,2,1,7,6,8
89,1,2,2,4,3,6,0
90,1,2,2,5,3,5,6
91,1,2,2,9,8,4,2
92,1,2,3,4,2,8,4
93,1,2,3,5,7,3,8
94,1,2,3,7,5,3,4
95,1,2,4,0,4,3,8
96,1,2,4,8,2,9,1
97,1,2,4,8,3,0,3
98,1,2,4,9,4,9,3
99,1,2,5,0,1,2,3
100,1,2,5,2,8,1,8
101,1,2,5,8,2,7,0
102,1,2,5,9,5,1,7
103,1,2,7,9,7,8,6
104,1,2,8,5,1,6,1
105,1,2,8,5,9,0,2
106,1,2,9,1,1,5,2
107,1,2,9,4,1,2,5
108,1,2,9,4,5,4,7
109,1,2,9,6,0,6,5
110,1,2,9,7,0,7,3
111,1,2,9,9,0,9,3
112,1,3,0,5,4,5,7
113,1,3,0,6,3,1,1
114,1,3,0,6,4,4,7
115,1,3,0,8,1,3,6
116,1,3,1,1,5,0,4
117,1,3,1,3,0,3,1
118,1,3,1,5,3,6,9
119,1,3,1,6,1,9,4
120,1,3,2,1,9,8,4
121,1,3,2,2,9,7,6
122,1,3,2,7,7,9,3
