Round,Group,No1,No2,No3,No4,No5,No6,BNo1,BNo2,BNo3,BNo4,BNo5,BNo6
1,4,1,6,2,1,3,2,2,7,8,2,3,9
2,2,4,5,0,5,5,8,1,5,4,4,5,7
3,4,5,4,4,9,5,5,0,5,9,3,6,9
4,4,1,2,4,4,2,0,2,2,1,0,9,7
5,4,7,5,4,6,5,5,1,9,0,7,7,9
6,5,1,9,3,2,0,2,2,0,6,4,6,0
7,2,5,9,7,0,9,3,4,8,2,5,9,5
8,4,2,3,4,0,5,8,5,4,8,6,8,2
9,3,1,3,3,5,1,0,2,1,3,2,4,0
10,2,7,7,0,1,7,3,0,6,4,2,6,3
11,1,8,6,7,6,5,4,4,8,5,5,3,0
12,5,0,7,6,6,7,6,6,1,1,0,0,4
13,1,6,6,9,2,4,5,8,8,0,0,8,9
14,3,4,3,2,4,9,6,4,5,1,0,0,9
15,4,4,7,7,2,3,8,1,4,6,2,8,2
16,4,6,6,4,0,5,6,6,5,7,9,8,5
17,3,3,1,7,2,2,7,0,3,1,7,0,8
18,1,5,6,2,2,2,2,8,8,1,9,8,0
19,5,8,5,9,2,1,9,4,1,1,9,3,6
20,1,8,1,9,6,0,5,5,5,5,6,8,7
21,1,2,3,9,9,3,7,5,5,2,3,1,7
22,1,9,1,3,6,2,2,3,6,2,1,0,4
23,4,1,5,8,0,7,1,7,2,6,9,9,0
24,2,0,0,2,9,8,9,9,6,7,9,3,9
25,3,4,6,3,6,3,7,3,8,6,7,5,0
26,3,1,9,2,8,5,6,5,6,1,7,1,4
27,5,4,1,2,0,0,8,9,6,7,1,4,2
28,5,0,8,0,8,3,9,3,7,8,8,5,6
29,4,3,5,5,1,9,2,1,2,6,0,7,8
30,3,4,8,7,2,1,5,1,5,7,1,9,0
31,1,7,7,1,5,9,8,9,9,7,8,6,3
32,1,5,7,9,1,7,6,3,4,9,0,4,3
33,4,5,9,6,2,1,9,6,4,1,6,8,7
34,4,9,7,7,6,8,6,8,3,2,2,2,6
35,1,5,4,2,4,5,4,1,1,6,4,2,3
36,4,7,3,5,7,5,7,2,5,2,6,6,3
37,3,4,5,3,8,7,7,4,6,6,5,6,6
38,3,3,0,7,8,3,6,1,6,2,4,8,0
39,1,1,9,9,1,3,7,3,2,0,7,1,8
40,2,6,3,1,0,8,6,5,8,5,8,0,2
41,1,7,4,2,7,1,4,6,9,8,3,3,5
42,4,9,7,4,2,3,1,8,9,2,2,4,3
43,4,5,8,9,8,3,9,8,9,0,5,4,6
44,3,6,6,8,8,1,8,7,9,9,1,8,1
45,2,3,1,8,7,5,4,4,9,4,2,2,1
46,4,0,1,0,9,6,3,7,1,0,8,1,7
47,4,9,4,1,3,2,7,5,2,4,4,9,5
48,1,7,7,9,3,6,3,7,8,8,6,4,2
49,4,3,0,5,2,4,8,1,9,1,2,3,5
50,3,5,9,2,1,1,1,1,7,6,5,7,0
51,2,5,1,0,0,1,2,0,8,8,1,8,5
52,2,5,9,7,2,2,7,2,9,7,6,2,5
53,5,6,4,9,6,3,8,5,8,0,3,5,7
54,5,6,2,7,0,5,4,9,3,2,5,3,5
55,1,4,7,7,8,7,9,4,9,5,7,1,9
56,1,9,9,3,1,7,4,6,7,7,7,9,9
57,2,2,7,2,2,8,6,2,3,0,2,9,5
58,5,9,3,9,3,2,7,5,5,1,9,2,4
59,2,1,5,9,0,5,6,9,7,3,5,2,1
60,5,2,1,6,5,1,0,0,2,9,1,6,3
